x,        y,         z,    speed,    acceleration,      cur,  cur_ch_r, time,    theta,          gear, s,          throttle, brake, steering
215749.009796, 2546193.98354, 27.8458511047, 8.54948806763, -0.176435634494, -0.0, 0.0, 1580910319.5264, -1.29355593709, 1, 3.88463674156, 0.0, 0.0, -0.0
215749.219851, 2546193.24498, 27.8459170708, 8.52828884125, -0.175584748387, -0.0, 0.0, 1580910319.6264, -1.29353542283, 1, 3.96991962998, 0.0, 0.0, -0.0
215749.476187, 2546192.34419, 27.8459570706, 8.5106754303, -0.174561232328, -0.0, 0.0, 1580910319.7272, -1.29353106787, 1, 4.05502638428, 0.0, 0.0, -0.0
215749.662284, 2546191.69051, 27.8459833162, 8.48723125458, -0.277564138174, 0.0149754115423, 0.176446370943, 1580910319.8264, -1.29022732489, 1, 4.13989869682, 0.0, 0.0, 8.31964683533
215749.944447, 2546190.71403, 27.8460366949, 8.46077919006, -0.150538116693, 0.00430300242133, -0.126139790216, 1580910319.9264, -1.27357046654, 1, 4.22450648872, 0.0, 0.0, 2.39188027382
215750.139151, 2546190.06641, 27.8460349161, 8.44166088104, -0.172999247909, -0.0, -0.050973410114, 1580910320.0262, -1.26868950839, 1, 4.30892309754, 0.0, 0.0, -0.0
215750.438001, 2546189.09925, 27.8460253049, 8.42424583435, -0.172406256199, -0.0, 0.0, 1580910320.1264, -1.26705745961, 1, 4.39316555588, 0.0, 0.0, -0.0
215750.613677, 2546188.53671, 27.8460207698, 8.42424583435, -0.176551416516, -0.0, 0.0, 1580910320.2266, -1.26681799905, 1, 4.47740801422, 0.0, 0.0, -0.0
215750.940715, 2546187.49516, 27.8460504045, 8.40427970886, -0.217413797975, 0.00688624087347, 0.0819373118461, 1580910320.3265, -1.25704928898, 1, 4.56145081131, 0.0, 0.0, 3.8275077343
215751.19732, 2546186.69803, 27.8460570904, 8.37835407257, -0.168002948165, 0.0085517955293, 0.019879258401, 1580910320.4262, -1.24700367179, 1, 4.64523435204, 0.0, 0.0, 4.75292491913
215751.407642, 2546186.06324, 27.8460505656, 8.35980319977, -0.170268908143, -0.0, -0.10229661303, 1580910320.5266, -1.24466365446, 1, 4.72883238403, 0.0, 0.0, -0.0
215751.700273, 2546185.19346, 27.8460411401, 8.34087467194, -0.169867783785, -0.0, 0.0, 1580910320.6266, -1.24390243615, 1, 4.81224113075, 0.0, 0.0, -0.0
215751.947679, 2546184.46242, 27.8446215317, 8.68110942841, 5.64767742157, -0.0, 0.0, 1580910320.7263, -1.24375669582, 1, 4.89905222504, 100.0, 0.0, -0.0
215752.295527, 2546183.43626, 27.8426997596, 9.07336139679, -0.208418667316, -0.0, 0.0, 1580910320.8264, -1.24365157098, 1, 4.98978583901, 0.0, 0.0, -0.0
215752.586408, 2546182.57888, 27.843386774, 9.0547876358, -0.206249430776, -0.0, 0.0, 1580910320.9262, -1.24362893324, 1, 5.08033371536, 0.0, 0.0, -0.0
215752.876737, 2546181.72336, 27.8443143838, 9.03401374817, -0.199006050825, -0.0, 0.0, 1580910321.0264, -1.2436250932, 1, 5.17067385285, 0.0, 0.0, -0.0
215753.137546, 2546180.95487, 27.8449406992, 9.01513767242, -0.193153217435, -0.0, 0.0, 1580910321.1265, -1.24362584942, 1, 5.26082522957, 0.0, 0.0, -0.0
215753.426787, 2546180.10275, 27.8453894667, 8.99214363098, -0.198204740882, 0.00853212850316, 0.0948842551153, 1580910321.2264, -1.24052322901, 1, 5.35074666588, 0.0, 0.0, 4.74199867249
215753.717121, 2546179.25305, 27.8456415329, 8.97332000732, -0.18750987947, -0.0, -0.0950832968867, 1580910321.3264, -1.23677470354, 1, 5.44047986595, 0.0, 0.0, -0.0
215754.009723, 2546178.40609, 27.8457704689, 8.9527349472, -0.186343356967, -0.0, 0.0, 1580910321.4268, -1.2359072558, 1, 5.53000721542, 0.0, 0.0, -0.0
215754.303104, 2546177.56135, 27.8458345472, 8.93033981323, -0.185147255659, -0.0, 0.0, 1580910321.5262, -1.23570836539, 1, 5.61931061356, 0.0, 0.0, -0.0
215754.59638, 2546176.71854, 27.8458664198, 8.93033981323, -0.184559091926, -0.0, 0.0, 1580910321.6285, -1.23566377081, 1, 5.70861401169, 0.0, 0.0, -0.0
215754.918447, 2546175.79365, 27.8458922394, 8.90801620483, -0.256883472204, -0.0, 0.0, 1580910321.7278, -1.23323884433, 1, 5.79769417374, 0.0, 0.0, -0.0
215755.182649, 2546175.03946, 27.8459268482, 8.88338184357, -0.161623463035, 0.0153533340199, 0.172832084563, 1580910321.8276, -1.22295248661, 1, 5.88652799217, 0.0, 0.0, 8.52933883667
215755.512129, 2546174.12213, 27.8459300045, 8.86457157135, -0.182923153043, 0.000105425119698, -0.172009541324, 1580910321.9274, -1.21720331824, 1, 5.97517370789, 0.0, 0.0, 0.0586048699915
215755.785899, 2546173.37488, 27.8459265707, 8.84427833557, -0.182583361864, -0.0, -0.00119201494682, 1580910322.0277, -1.21619203935, 1, 6.06361649124, 0.0, 0.0, -0.0
215756.091512, 2546172.54699, 27.8459234852, 8.82586669922, -0.181763976812, -0.0, 0.0, 1580910322.1276, -1.21591533578, 1, 6.15187515823, 0.0, 0.0, -0.0
215756.397257, 2546171.72111, 27.8459221362, 8.80568122864, -0.181504592299, -0.0, 0.0, 1580910322.2278, -1.21585408377, 1, 6.23993197052, 0.0, 0.0, -0.0
215756.702613, 2546170.89703, 27.8459227839, 8.78738594055, -0.181044504046, -0.0, 0.0, 1580910322.3277, -1.21584163942, 1, 6.32780582993, 0.0, 0.0, -0.0
215757.00741, 2546170.0747, 27.8459250089, 8.76913928986, -0.180673509836, -0.0, 0.0, 1580910322.4277, -1.21584046626, 1, 6.41549722283, 0.0, 0.0, -0.0
215757.341975, 2546169.1721, 27.8459283044, 8.74912261963, -0.180012524128, -0.0, 0.0, 1580910322.5276, -1.21584217587, 1, 6.50298844902, 0.0, 0.0, -0.0
215757.645463, 2546168.35335, 27.8459319314, 8.72916221619, -0.179826676846, -0.0, 0.0, 1580910322.6284, -1.21584408264, 1, 6.59028007118, 0.0, 0.0, -0.0
215757.887798, 2546167.69957, 27.845935219, 8.70924186707, -0.179639294744, -0.0, 0.0, 1580910322.7277, -1.21584573882, 1, 6.67737248985, 0.0, 0.0, -0.0
215758.221809, 2546166.79844, 27.8455935535, 8.81991481781, 5.47505569458, -0.0, 0.0, 1580910322.8278, -1.21584409008, 1, 6.76557163803, 100.0, 0.0, -0.0
215758.50704, 2546166.02875, 27.8437966839, 9.20432090759, -0.134309664369, -0.0, 0.0, 1580910322.9278, -1.21579965885, 1, 6.85761484711, 0.0, 0.0, -0.0
215758.890539, 2546164.99407, 27.8438304635, 9.18323516846, -0.205346465111, -0.0, 0.0, 1580910323.0277, -1.21577061286, 1, 6.94944719879, 0.0, 0.0, -0.0
215759.241233, 2546164.04808, 27.8445733921, 9.16401386261, -0.200596347451, -0.0, 0.0, 1580910323.1279, -1.2157677008, 1, 7.04108733742, 0.0, 0.0, -0.0
215759.527588, 2546163.27569, 27.8450680329, 9.14481735229, -0.195808649063, -0.0, 0.0, 1580910323.2277, -1.21576892878, 1, 7.13253551094, 0.0, 0.0, -0.0
215759.84515, 2546162.41913, 27.8454270931, 9.14481735229, -0.205202564597, -0.0, 0.0, 1580910323.3277, -1.21594802701, 1, 7.22398368446, 0.0, 0.0, -0.0
215760.12998, 2546161.65007, 27.8456438202, 9.12263870239, -0.416347056627, -0.009820789655, -0.107652949715, 1580910323.4278, -1.22390480356, 1, 7.31521007149, 0.0, 0.0, -5.45786333084
215760.440145, 2546160.79657, 27.8457953548, 9.08252811432, -0.139625996351, -0.022357703798, -0.138033309506, 1580910323.5280, -1.24509743076, 1, 7.40603535263, 0.0, 0.0, -12.4116659164
215760.735838, 2546159.93979, 27.8458261252, 9.06441879272, -0.189467042685, -0.00100693125151, 0.235544859905, 1580910323.6280, -1.25656678577, 1, 7.49667954056, 0.0, 0.0, -0.559742450714
215761.047704, 2546158.99514, 27.8458454078, 9.0416135788, -0.187580481172, -0.0, 0.0111366322253, 1580910323.7278, -1.25935875375, 1, 7.58709567635, 0.0, 0.0, -0.0
215761.270437, 2546158.30831, 27.845854634, 9.02079486847, -0.187001213431, -0.0, 0.0, 1580910323.8277, -1.25983546885, 1, 7.67730362503, 0.0, 0.0, -0.0
215761.601879, 2546157.27959, 27.8458647989, 9.00195980072, -0.186249315739, -0.0, 0.0, 1580910323.9276, -1.26001516238, 1, 7.76732322304, 0.0, 0.0, -0.0
215761.883653, 2546156.40273, 27.8444577735, 9.28354549408, 5.66818332672, -0.0, 0.0, 1580910324.0278, -1.26001856269, 1, 7.86015867798, 100.0, 0.0, -0.0
215762.18065, 2546155.47777, 27.8423369294, 9.79683876038, -0.200700491667, -0.0, 0.0, 1580910324.1277, -1.25995112642, 1, 7.95812706558, 0.0, 0.0, -0.0
215762.479778, 2546154.54637, 27.8427380533, 9.77659988403, -0.226984396577, -0.0, 0.0, 1580910324.2279, -1.25992157474, 1, 8.05589306442, 0.0, 0.0, -0.0
215762.778295, 2546153.6171, 27.843758455, 9.75381660461, -0.219061523676, -0.0, 0.0, 1580910324.3276, -1.25991658494, 1, 8.15343123047, 0.0, 0.0, -0.0
215763.076223, 2546152.68975, 27.8445787961, 9.7329044342, -0.228028729558, -0.00487407414708, -0.0500783109506, 1580910324.4275, -1.26030471319, 1, 8.25076027481, 0.0, 0.0, -2.7092795372
215763.372913, 2546151.76461, 27.8451213557, 9.70327568054, -0.203090310097, -0.00815220066122, -0.0337837099766, 1580910324.5280, -1.26962730669, 1, 8.34779303162, 0.0, 0.0, -4.53091955185
215763.663482, 2546150.83983, 27.8454106352, 9.6829252243, -0.206573992968, -0.0, 0.0841915069298, 1580910324.6278, -1.27813130087, 1, 8.44462228386, 0.0, 0.0, -0.0
215763.946014, 2546149.91467, 27.8455618974, 9.6829252243, -0.204681754112, -0.0, 0.0, 1580910324.7276, -1.28034585136, 1, 8.5414515361, 0.0, 0.0, -0.0
215764.223953, 2546148.9905, 27.8456551749, 9.6578578949, -0.344217598438, -0.0050548370371, -0.0523391117587, 1580910324.8277, -1.28621446042, 1, 8.63803011505, 0.0, 0.0, -2.80974388123
215764.49566, 2546148.06811, 27.8457475286, 9.62546062469, -0.190131768584, -0.0244507373195, -0.201506203585, 1580910324.9277, -1.3067337843, 1, 8.7342847213, 0.0, 0.0, -13.5700073242
215764.752483, 2546147.14375, 27.8457436231, 9.59617710114, -0.201300397515, -0.00982362858614, 0.152426415011, 1580910325.0277, -1.32330143274, 1, 8.83024649231, 0.0, 0.0, -5.45944023132
215764.946266, 2546146.40266, 27.8457411528, 9.57115745544, -0.248080924153, -0.00898395001578, 0.00877300968324, 1580910325.1277, -1.32989841585, 1, 8.92595806687, 0.0, 0.0, -4.99300575256
215765.223131, 2546145.29095, 27.8457699702, 9.54020595551, -0.175823822618, -0.0125225300666, -0.0370912333265, 1580910325.2277, -1.34757694692, 1, 9.02136012642, 0.0, 0.0, -6.95820808411
215765.43976, 2546144.36351, 27.8457625657, 9.51856040955, -0.200435444713, -0.0, 0.131559075404, 1580910325.3278, -1.35521507228, 1, 9.11654573052, 0.0, 0.0, -0.0
